id,label
44011,truck
40500,deer
19479,horse
3682,ship
7367,ship
41046,frog
36090,frog
26473,cat
4022,automobile
18807,ship
34147,cat
18504,bird
41486,ship
14187,deer
44605,horse
39584,truck
25989,truck
11127,truck
9748,ship
24266,deer
12508,airplane
7823,deer
3644,truck
42181,bird
2921,truck
14408,airplane
48111,dog
25835,deer
29488,airplane
48464,frog
1008,deer
6192,automobile
4623,truck
19924,truck
31524,automobile
26668,airplane
12736,frog
1514,dog
9062,deer
17054,cat
12923,airplane
10052,deer
22233,dog
40562,dog
43412,cat
38621,cat
17156,cat
36926,airplane
22579,ship
42327,truck
17579,cat
23926,horse
29445,airplane
20787,ship
13101,dog
1075,cat
21713,cat
10209,truck
8777,bird
36356,bird
15204,deer
45027,cat
35245,ship
46937,airplane
3120,bird
46045,ship
1784,horse
6926,frog
4752,frog
26515,ship
28535,truck
29889,airplane
346,deer
6448,frog
10259,dog
26968,ship
44689,bird
30302,dog
31843,frog
13497,frog
33265,ship
35975,truck
37256,bird
39483,cat
33621,truck
21695,deer
3068,ship
1997,ship
48519,bird
37158,truck
39418,frog
25721,dog
8745,horse
34167,bird
45363,cat
19114,cat
16369,automobile
22189,dog
47276,horse
2044,frog
24932,airplane
12704,bird
25314,deer
8610,cat
48279,truck
21585,truck
13374,horse
41399,automobile
23807,automobile
42081,deer
15219,frog
14813,bird
17167,airplane
3079,automobile
27547,bird
44226,automobile
45846,airplane
8014,cat
17962,truck
27360,dog
10614,ship
28505,frog
25884,truck
27227,horse
9219,truck
2773,bird
29808,automobile
48186,automobile
34626,truck
32351,cat
33937,horse
22119,airplane
17912,horse
4934,horse
17257,horse
42706,ship
19949,ship
42904,deer
9683,ship
20785,cat
42842,truck
22701,cat
23407,frog
48273,horse
41828,cat
43559,truck
20981,airplane
12730,truck
32603,airplane
36479,frog
24782,frog
23649,automobile
736,airplane
15406,ship
42889,frog
38953,ship
37042,airplane
29322,dog
4661,deer
26106,ship
45828,airplane
43317,horse
3258,automobile
24393,bird
41782,horse
34714,truck
32229,frog
39346,horse
18207,automobile
38587,airplane
42157,frog
12188,truck
34279,automobile
42642,frog
48892,airplane
10698,deer
18317,automobile
32133,ship
12237,ship
18688,dog
37808,horse
5092,ship
18334,automobile
35432,deer
24640,airplane
24305,truck
11749,frog
4911,deer
46280,automobile
44215,dog
45517,airplane
41496,truck
42107,truck
40108,horse
27980,truck
23346,automobile
16597,airplane
8300,horse
45746,horse
43406,truck
30196,horse
31978,dog
8305,bird
1165,cat
1431,bird
47488,deer
4639,truck
49059,horse
46464,automobile
38134,ship
24825,horse
32813,frog
15005,deer
22182,truck
21224,bird
49168,truck
12260,truck
43582,frog
23931,bird
2500,horse
35069,automobile
39313,bird
3565,airplane
26118,truck
38026,horse
16084,automobile
40966,bird
42830,airplane
47940,automobile
17586,deer
37712,ship
33479,airplane
924,frog
24121,dog
48481,bird
18813,ship
49412,automobile
4456,bird
30842,deer
43916,horse
18455,frog
23310,deer
20793,horse
38125,deer
24969,automobile
24345,dog
6566,ship
39373,airplane
38009,ship
27595,bird
8999,ship
2664,ship
42090,dog
25046,horse
2165,cat
42455,truck
46979,truck
42281,ship
19389,cat
43859,ship
38549,frog
36317,bird
3190,deer
18535,horse
4920,airplane
44559,deer
49050,bird
14844,bird
4741,dog
27626,automobile
2805,airplane
8026,bird
41152,airplane
26561,dog
27813,deer
18215,airplane
41309,bird
35974,airplane
12364,airplane
8660,horse
25131,bird
44840,horse
5697,airplane
41277,truck
48211,truck
15905,frog
48557,airplane
29859,dog
47685,cat
4415,cat
33799,deer
37540,truck
29667,airplane
17697,ship
37472,dog
11765,cat
22445,horse
48257,horse
7779,automobile
267,cat
38123,frog
37752,truck
8197,dog
30775,cat
4998,dog
22876,airplane
42532,automobile
36578,truck
37658,cat
37469,automobile
48456,truck
20620,automobile
34574,truck
26766,bird
48899,automobile
41582,cat
9594,deer
42946,airplane
16469,horse
35243,deer
7746,bird
6178,bird
19384,horse
33845,horse
45437,dog
13083,cat
5794,truck
8023,ship
7152,bird
41310,frog
11403,deer
43353,cat
25805,horse
36036,dog
31522,airplane
47206,deer
2421,airplane
27442,cat
16821,ship
5138,automobile
29114,cat
8423,cat
34800,airplane
1631,deer
18620,cat
27199,truck
44992,automobile
28012,frog
1009,bird
30262,ship
42596,horse
33162,dog
23104,truck
28804,deer
7684,automobile
22215,ship
14181,bird
30229,deer
45008,dog
2521,deer
4749,bird
40809,automobile
20773,deer
39650,dog
17525,horse
49588,automobile
35843,dog
9984,airplane
41461,airplane
28214,deer
35549,airplane
36046,truck
38069,cat
3604,frog
8439,bird
17726,deer
13690,dog
14038,ship
2368,dog
41380,frog
22596,horse
3645,airplane
40176,ship
35524,horse
18595,automobile
11568,deer
6768,cat
6242,automobile
14838,horse
5868,bird
15213,bird
16553,airplane
39955,frog
26975,cat
30691,bird
8002,automobile
35839,frog
10795,frog
7153,horse
3885,airplane
11949,ship
22055,automobile
24415,ship
40553,ship
19153,ship
21059,ship
48401,frog
36485,ship
44127,airplane
26910,dog
